order_id,delivery_delay,max_installments,order_purchase_day,order_purchase_hour,nb_products,avg_purchase_price,avg_review_score,appliances,arts,auto,construction,electronics,fashion,food_drinks,garden_pets,health_beauty,home,office,other payment type,sports_leisure,boleto,credit_card,debit_card,other category,voucher,big city,medium city,small city,towns or missing info,recency,frequency,monetary,Cluster
d7bd0e4afdf94846eb73642b4e3e75c3,6,1.0,6,18,2,22.9,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.198,0.693,4.909,2.0
d7bd0e4afdf94846eb73642b4e3e75c3,6,,6,18,2,22.9,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6.198,0.693,4.909,2.0
ae168dfba236919411fe08f336fefa44,18,4.0,1,9,3,88.89,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.209,1.099,6.844,2.0
ae168dfba236919411fe08f336fefa44,18,,1,9,3,88.89,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.209,1.099,6.844,2.0
ae168dfba236919411fe08f336fefa44,18,,1,9,3,88.89,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.209,1.099,6.844,2.0
cf73e2cb1f4a9480ed70c154da3d954a,7,1.0,3,11,2,50.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.438,0.693,4.818,2.0
8ba3f3a9292fbc22a8b7dff752bbcd37,12,1.0,4,10,4,59.9,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6.035,1.386,4.332,2.0
8ba3f3a9292fbc22a8b7dff752bbcd37,12,,4,10,4,59.9,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6.035,1.386,4.332,2.0
8ba3f3a9292fbc22a8b7dff752bbcd37,12,,4,10,4,59.9,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6.035,1.386,4.332,2.0
8ba3f3a9292fbc22a8b7dff752bbcd37,12,1.0,4,10,4,59.9,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6.035,1.386,4.332,2.0
548df2c6e5f089574614894bca78acf5,18,1.0,2,16,2,25.4,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.438,0.693,5.088,2.0
548df2c6e5f089574614894bca78acf5,18,,2,16,2,25.4,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.438,0.693,5.088,2.0
36782087b0d4f8cd6daa340872006259,13,1.0,2,12,2,49.9,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.313,0.693,4.147,2.0
36782087b0d4f8cd6daa340872006259,13,1.0,2,12,2,49.9,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5.313,0.693,4.147,2.0
25362fbf6aac4b01a28dee1e076acc26,9,3.0,2,0,2,39.9,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.045,0.693,5.418,2.0
25362fbf6aac4b01a28dee1e076acc26,9,,2,0,2,39.9,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3.045,0.693,5.418,2.0
071251fe3b3493294536f03737a8a679,14,1.0,3,12,2,12.49,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.727,0.693,4.704,2.0
071251fe3b3493294536f03737a8a679,14,,3,12,2,12.49,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.727,0.693,4.704,2.0
0feb8ce954124d3e3d8338c573a9c523,5,1.0,3,8,2,50.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.792,0.693,5.44,0.0
0feb8ce954124d3e3d8338c573a9c523,5,,3,8,2,50.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.792,0.693,5.44,0.0
a11cd01ac67beef7e8bf09740d8a35c1,12,2.0,4,18,2,39.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6.284,0.693,5.331,2.0
a11cd01ac67beef7e8bf09740d8a35c1,12,,4,18,2,39.9,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6.284,0.693,5.331,2.0
a1341cb83bbf1b47392f4a3685d56bad,17,1.0,6,13,2,39.49,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5.257,0.693,5.252,2.0
a1341cb83bbf1b47392f4a3685d56bad,17,,6,13,2,39.49,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5.257,0.693,5.252,2.0
83177602aad708cea549501386b021c6,7,10.0,0,21,2,139.9,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.384,0.693,6.414,2.0
83177602aad708cea549501386b021c6,7,,0,21,2,139.9,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.384,0.693,6.414,2.0
45c780334bc32cb77559a65c5f171160,14,1.0,2,19,3,28.633333333333336,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5.525,1.099,6.025,2.0
45c780334bc32cb77559a65c5f171160,14,,2,19,3,28.633333333333336,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.525,1.099,6.025,2.0
45c780334bc32cb77559a65c5f171160,14,,2,19,3,28.633333333333336,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.525,1.099,6.025,2.0
af76a45a10524549102e010f2bd9d3cd,15,1.0,0,19,3,27.99,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5.733,1.099,5.961,2.0
af76a45a10524549102e010f2bd9d3cd,15,,0,19,3,27.99,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.733,1.099,5.961,2.0
af76a45a10524549102e010f2bd9d3cd,15,,0,19,3,27.99,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.733,1.099,5.961,2.0
2a3251c95a3d5c57ed230021faa588a0,25,2.0,6,10,6,29.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.056,1.792,7.532,2.0
2a3251c95a3d5c57ed230021faa588a0,25,,6,10,6,29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.056,1.792,7.532,2.0
2a3251c95a3d5c57ed230021faa588a0,25,,6,10,6,29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.056,1.792,7.532,2.0
2a3251c95a3d5c57ed230021faa588a0,25,,6,10,6,29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.056,1.792,7.532,2.0
2a3251c95a3d5c57ed230021faa588a0,25,,6,10,6,29.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.056,1.792,7.532,2.0
