customer_id,recency,frequency,monetary
0001fd6190edaaf884bcaf3d49edf079,6.304,0.0,5.275
0002414f95344307404f0ace7a26f1d5,5.935,0.0,5.189
000379cdec625522490c315e70c7a9fb,5.004,0.0,4.673
0004164d20a9e969af783496f3408652,6.223,0.0,4.274
000419c5494106c306a97b5635748086,5.187,0.0,3.9
00050bf6e01e69d5c0fd612f1bcfb69c,5.844,0.0,4.445
0005aefbb696d34b3424dccd0a0e9fd0,4.248,0.0,4.993
00062b33cb9f6fe976afdcff967ea74d,6.275,0.0,4.077
00066ccbe787a588c52bd5ff404590e3,5.313,1.386,6.985
00072d033fe2e59061ae5c3aff1a2be5,5.892,0.0,4.673
0009a69b72033b2d0ec8c69fc70ef768,6.19,0.0,5.157
000e943451fc2788ca6ac98a682f2f49,6.205,1.386,4.666
000fd45d6fedae68fc6676036610f879,4.905,0.0,4.202
0010068a73b7c56da5758c3f9e5c7375,6.223,0.0,4.004
001028b78fd413e19704b3867c369d3a,4.934,0.0,3.627
00104a47c29da701ce41ee52077587d9,5.421,0.0,4.609
001051abfcfdbed9f87b4266213a5df1,4.511,1.099,4.177
001226b2341ef620415ce7bbafcfac28,5.811,0.0,3.861
0013280441d86a4f7a8006efdaf1b0fe,5.451,0.0,5.089
0013cd8e350a7cc76873441e431dd5ee,4.727,0.0,4.528
00146ad30454993879adaa91c518f68c,5.447,0.0,5.402
00155f0530cc7b2bf73cc3f81cb01c52,6.155,0.0,3.707
0015f7887e2fde13ddaa7b8e385af919,5.976,0.0,5.23
0018f7fde63ca77254dbc47f4ea358b2,5.82,0.0,3.937
001a57041f56400917a187dd74e6cbc1,5.407,0.0,3.984
001b4e9b73aa98a6276b241bfd496822,4.97,0.0,4.417
001c7f05398c45b42eee0d5a77783bca,4.934,0.0,3.088
001df1ee5c36767aa607001ab1a13a06,3.135,0.0,3.758
001f150aebb5d897f2059b0460c38449,4.718,0.0,4.836
001f35d9f262c558fd065346fbf5801d,5.371,0.0,3.84
001f6f1a5e902ad14e1f709a7215de11,6.34,0.0,3.551
002236c4f333bc8df6a5939749eb7869,5.384,0.0,4.246
002450e9ea44cb90b8a07ba0b197e149,5.935,0.0,3.689
002554bdf9eb99618d8189c3a89fdd52,2.708,0.0,5.497
0026955706fd4e2fa997f3f4c18d485a,2.197,0.0,4.803
002834b4d901534f48d9e9a72047b288,5.781,0.0,5.367
002a10e899b62a460b0116e0b68697ad,4.745,0.0,4.531
002ce108ccf0356ef5c8b1dce3c0ae29,4.419,0.0,5.224
002d597546b2cf44428232c9f237f873,3.638,0.0,4.768
002f067b028a3643ad3a0969c7a0f3dc,5.749,0.0,4.681
002f90a6eb386bc43bc9ba200db31a89,6.084,0.0,5.034
002ff70a5285669011090c077ef929af,3.178,0.0,4.396
0030aded3a67b29946a128ee8468388e,5.628,0.0,4.071
0030fbb95fbe7e61f798a80edb01a8e9,5.677,0.0,3.29
00314f95a054231742e3c5396b333b88,5.447,0.0,4.083
003177b3eeca50af17750f53802c9a09,3.932,0.0,4.896
0031c1062edf836ef7a7a7ea758b137b,6.301,0.0,4.394
0034f7933de3ead6bd9ba49afe95f119,4.977,0.0,4.434
003536ce5e18f1d12b9bf76932f8a6b1,5.756,0.0,3.976
0035b30e58c620fa2bd30275ddd4f7ef,4.956,0.0,4.359
0036875772a8eeb391b8cd7226283fdd,5.389,0.0,4.125
00380c010de38d578d02117f6d0b88e7,5.204,0.0,4.16
0039b3e41ac6615814a0b44a8992bff5,5.438,0.0,3.544
003b595c764773e20e0949b6fba7b1dc,4.92,0.0,3.237
003cbe6a43560a8b6fd2c07531257c2d,5.342,0.0,3.323
003e45472805afa1ee701d83284fa22b,6.094,0.0,3.421
003eab528664e1bd677218ef4be086ac,6.238,0.0,4.345
003ec17a1389fa302f3a0423dddd8650,5.421,0.0,2.878
0040a8417928d0d5abd5169cd7877181,4.127,0.0,5.391
0041d7b768cb115092fa0f5d55638d06,5.142,0.0,4.398
0042d04ee8231b36dcb29aac213f5db4,6.225,0.0,3.511
0043b0afd67fb3af74360d2893b9a530,5.656,0.0,4.749
00459c4eb23e40414ca067d06fa303d4,4.727,0.0,4.477
0045ac1c0957bc92e109f71e4941fa49,4.094,0.0,5.027
00474d2582fd72663036795b7ab8cfc1,6.541,0.693,5.383
004937d0f9d6ce15c2830c00c2f482e5,5.361,0.693,4.261
004df18653e9438571e9d294776a5c5c,4.443,0.0,3.918
004ee20df425002ed78553e1f50caa3e,4.779,0.0,3.487
004f39eb181d53fa796fe82ce7a0cbd5,4.691,0.0,4.595
00502500a53243e07961383bf1a6fa82,5.247,0.0,4.276
0050ee32fbb93383fb0d9e3d8ee89a07,3.611,0.0,4.811
00520034b873d2cdfe098fd0a634d03d,6.035,0.0,5.09
0054556ea954a76ad6f9c4ba79d34a98,5.953,0.0,3.947
0054f2f885ca69abcf4935c9506d7851,6.246,0.0,3.946
005596395ca3acd0433fe7d6f95a028e,5.908,0.693,4.787
0055e9b290953716739bd94a256a4144,6.028,0.0,4.082
0056a2580b5c68cfa6b43c6ef6adbc03,5.852,0.0,4.151
00573ea7a2ac9dff51ac3d177cd6eaea,5.328,0.0,3.638
0057f8b7c332d630b992d6a8ca79748c,5.273,0.0,4.818
0058153a752ee674162564afb1191d25,2.485,0.0,4.542
005e2fff255d3d69e6cfc8c4928d33a9,5.464,0.0,4.867
00618f4116647066768ca73893989605,5.347,0.0,4.862
0063bdf3bf91260f76973a4af6f9199e,4.431,0.0,4.577
006431d77c665533ac99b501d8a6ab06,4.913,0.693,6.159
006496598c918064dc19eef95e5e47f8,5.236,0.0,4.339
00652f7a6e012d58f58fefd69d1a1ea4,4.92,0.0,4.464
0065c96aca557c0919dd5cdee546f8b1,4.5,0.0,4.82
00660e817a39486a37c26b071d0741f8,5.017,0.0,5.084
0066d0530824a5e8044c71af62dea8d5,5.635,0.0,3.529
006866a6f9ef10d3a85292859c4deae1,3.401,0.0,3.714
0068a2209e2c7631566539fef4331bf8,6.146,0.0,3.529
006a5d6b5f648f3811fd4fa94d93a67c,6.122,0.0,3.65
006e0e7aa73b77bfcc0c4b2a3f3ab0cc,6.096,0.0,4.253
006e35001c6c8c65ad4b20a8925d2b9f,6.138,0.0,4.444
